stratum_type,stratum,rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
quadrant,FLAWED_BLOCK,J2,J3,78,6,2,2,0.015384615384615387,0.005128205128205128,0.010256410256410258,0.5619514869490186,0.5619514869490164,0.5773502691896257,0.010256410256410256,0.04529108136578384,0.2,74,0.9487179487179487,78,1.0,78,1.0,2,0.5561878819546697
quadrant,FLAWED_BLOCK,J2,J4,78,6,2,2,0.015384615384615387,0.005128205128205128,0.010256410256410258,0.5619514869490186,0.5619514869490164,0.5773502691896257,0.010256410256410256,0.04529108136578384,0.2,74,0.9487179487179487,78,1.0,78,1.0,2,0.5561878819546697
quadrant,FLAWED_BLOCK,J2,J5,78,6,2,2,0.015384615384615387,0.005128205128205128,0.010256410256410258,0.5619514869490186,0.5619514869490164,0.5773502691896257,0.010256410256410256,0.04529108136578384,0.2,74,0.9487179487179487,78,1.0,78,1.0,2,0.5561878819546697
quadrant,VALIDATED_BLOCK,J2,J3,125,13,10,7,0.021200000000000004,0.016,0.005200000000000003,0.5616444372091282,0.5700864355600631,0.6010743070375284,0.0148,0.05531726674375733,0.25,116,0.928,124,0.992,125,1.0,7,0.553332099538433
quadrant,VALIDATED_BLOCK,J1,J4,125,21,7,7,0.034,0.011200000000000002,0.0228,0.5334686330041525,0.536395478170939,0.5697698492895357,0.0228,0.06826419266350406,0.25,111,0.888,124,0.992,125,1.0,7,0.5213055481716578
quadrant,VALIDATED_APPROVAL,J1,J2,26,9,3,3,0.06923076923076923,0.02307692307692308,0.046153846153846156,0.49636358810271636,0.4963635881027162,0.5773502691896257,0.04615384615384616,0.09607689228305229,0.2,20,0.7692307692307693,26,1.0,26,1.0,3,0.4734544994210525
verdict,APPROVE,J2,J4,104,9,2,2,0.01730769230769231,0.0038461538461538464,0.013461538461538462,0.45494140013842677,0.45494140013842754,0.47140452079103157,0.01346153846153846,0.05188745216627708,0.2,97,0.9326923076923077,104,1.0,104,1.0,2,0.4488171889827172
verdict,APPROVE,J2,J5,104,9,2,2,0.01730769230769231,0.0038461538461538464,0.013461538461538462,0.45494140013842677,0.45494140013842754,0.47140452079103157,0.01346153846153846,0.05188745216627708,0.2,97,0.9326923076923077,104,1.0,104,1.0,2,0.4488171889827172
ground_truth,CLEAN,J2,J4,99,9,2,2,0.01818181818181818,0.00404040404040404,0.01414141414141414,0.45407660918650233,0.45407660918649984,0.47140452079103157,0.01414141414141414,0.05318160234783105,0.2,92,0.9292929292929293,99,1.0,99,1.0,2,0.447655323804067
ground_truth,CLEAN,J2,J5,99,9,2,2,0.01818181818181818,0.00404040404040404,0.01414141414141414,0.45407660918650233,0.45407660918649984,0.47140452079103157,0.01414141414141414,0.05318160234783105,0.2,92,0.9292929292929293,99,1.0,99,1.0,2,0.447655323804067
quadrant,FLAWED_BLOCK,U1,U3,78,76,65,65,0.6448717948717948,0.35662393162393163,0.28824786324786317,0.5934928976585749,0.5903883983251247,0.8927505997078169,0.2882478632478632,0.3648605478442679,1.0,17,0.21794871794871795,39,0.5,67,0.8589743589743589,50,0.42241983805570793
ground_truth,CLEAN,U1,U3,99,97,86,86,0.6888888888888889,0.37777777777777777,0.3111111111111111,0.588602011685014,0.5675171022966964,0.8994244185547783,0.31111111111111106,0.38349798835288185,1.0,19,0.1919191919191919,45,0.45454545454545453,83,0.8383838383838383,61,0.4054813858274541
ground_truth,CLEAN,H1,U3,99,75,86,72,0.2888888888888889,0.37777777777777777,0.08888888888888885,0.5029740745482846,0.5096141515413146,0.8266635621551279,0.19393939393939388,0.2526625889172828,0.6000000000000001,30,0.30303030303030304,73,0.7373737373737373,95,0.9595959595959596,68,0.40542758736316276
quadrant,FLAWED_BLOCK,U1,U4,78,76,68,68,0.6448717948717948,0.36047008547008547,0.28440170940170934,0.5241246746782119,0.5114458818494799,0.8862481751300361,0.2844017094017094,0.3709587562794533,1.0,21,0.2692307692307692,38,0.48717948717948717,65,0.8333333333333334,53,0.3750627212601136
quadrant,FLAWED_BLOCK,H1,U3,78,52,65,51,0.22799145299145296,0.35662393162393163,0.12863247863247868,0.4553516396946216,0.5519461643952025,0.778975760676794,0.19017094017094016,0.2708275804780199,1.0,29,0.3717948717948718,59,0.7564102564102564,73,0.9358974358974359,49,0.3687569902655162
verdict,APPROVE,U1,U3,104,101,87,87,0.6875,0.361698717948718,0.325801282051282,0.5459373194961242,0.5239232944438009,0.8849256435618352,0.3258012820512821,0.40410883805164793,1.0,19,0.18269230769230768,44,0.4230769230769231,85,0.8173076923076923,62,0.3680702408846465
verdict,APPROVE,U1,U4,104,101,91,91,0.6875,0.3703525641025641,0.3171474358974359,0.5220510177258948,0.5146127384498771,0.8886392517089721,0.3171474358974359,0.3992012591402303,1.0,23,0.22115384615384615,43,0.41346153846153844,82,0.7884615384615384,66,0.3564838760464804
verdict,APPROVE,J2,J3,104,9,3,2,0.01730769230769231,0.00576923076923077,0.011538461538461539,0.35561019497950086,0.3556101949795,0.38490017945975047,0.015384615384615385,0.05547001962252292,0.2,96,0.9230769230769231,104,1.0,104,1.0,2,0.35013926890289315
ground_truth,CLEAN,J2,J3,99,9,3,2,0.01818181818181818,0.0060606060606060615,0.01212121212121212,0.3540440964374669,0.3540440964374667,0.38490017945975047,0.01616161616161616,0.05685352436149612,0.2,91,0.9191919191919192,99,1.0,99,1.0,2,0.3483221716465584
quadrant,VALIDATED_APPROVAL,H1,U3,26,25,22,22,0.4538461538461539,0.37692307692307686,0.07692307692307704,0.44183204934851017,0.4506738586771775,0.8586374717026141,0.2153846153846154,0.2601774542351964,0.6000000000000001,5,0.19230769230769232,17,0.6538461538461539,25,0.9615384615384616,21,0.34666822333498487
