target,lambda,mean_nonzero,mean_logloss,se_logloss,mean_accuracy,mean_precision,mean_recall,mean_f1
J3,0.00987091404249892,6.8,0.06875410092029145,0.016595221984346382,0.9674160379094591,0.659170653907496,0.9407563025210084,0.7666660724686647
J3,0.013690156816728805,4.6,0.07327595770555417,0.01589492202117122,0.9674160379094591,0.659170653907496,0.9407563025210084,0.7666660724686647
J3,0.018987136637974283,3.6,0.07772664264416994,0.014900331888603223,0.9591078548644338,0.584696342305038,0.9691876750700279,0.7235686145648941
J3,0.02633361783471869,3.0,0.08192140942143485,0.013140621076051668,0.9591078548644338,0.584696342305038,0.9691876750700279,0.7235686145648941
J3,0.036522591135626795,2.8,0.08704699448154013,0.011428206767228399,0.966125398724083,0.6496536072623028,0.9358543417366947,0.760491691487971
J3,0.05065387033533725,2.8,0.09424451251749344,0.00977191035992523,0.966125398724083,0.6496536072623028,0.9358543417366947,0.760491691487971
J3,0.07025280792430623,2.8,0.10421712521991486,0.008158101268068301,0.9685496411483253,0.6931318681318681,0.9247432306255836,0.7791676496761243
J3,0.09743494403440249,2.8,0.118196421589184,0.006503574395010375,0.9804524751564225,0.8538461538461538,0.9012138188608777,0.8637444348980707
J3,0.13513436116626068,2.8,0.13809941889745078,0.004712945635940776,0.9804524751564225,0.8538461538461538,0.9012138188608777,0.8637444348980707
J3,0.1874203936666262,2.8,0.16689674985812886,0.0028154421863544584,0.9804524751564225,0.8538461538461538,0.9012138188608777,0.8637444348980707
J3,0.259936878074525,2.8,0.20930517183652136,0.002163317018614353,0.9910774751564226,0.9538461538461538,0.8821661998132585,0.9138782439970896
J3,0.3605113577091053,2.6,0.2731108447815914,0.004982901772693537,0.9932502146975832,1.0,0.8739309056956115,0.932024948735475
J3,0.5,1.8,0.3513498980955389,0.005516201278915222,0.9932502146975832,1.0,0.8739309056956115,0.932024948735475
J4,0.001,7.8,0.03731543899994489,0.009873489686081928,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.0013869188565300285,6.8,0.03723140560106556,0.00966840069542215,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.00192354391459856,6.4,0.03723394520363453,0.009390654395947873,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.0026677993265203275,5.0,0.03743176339504864,0.009162748764555887,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.0037000211913891527,3.6,0.03747628820430811,0.008917959002906928,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.005131629159898318,3.2,0.037339903139387384,0.008628480917543395,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.007117153246582319,3.2,0.03725731450939412,0.008317296505583278,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.00987091404249892,3.2,0.037346222174045166,0.008001436556646799,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.013690156816728805,3.2,0.037747471397966637,0.0077057340962531145,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.018987136637974283,3.0,0.03882767928118852,0.007444354712340744,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.02633361783471869,3.0,0.04079155104046772,0.007262836884304769,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.036522591135626795,2.8,0.043578721133507727,0.006673832899773913,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.05065387033533725,2.2,0.04808544037958771,0.0060128334508082895,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.07025280792430623,2.0,0.05489110604275403,0.005386533973296075,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
J4,0.09743494403440249,1.8,0.06543349143229985,0.004731593974618618,0.9932502146975832,0.8739309056956115,1.0,0.932024948735475
